Time,avg(flux)
9.3,-3.6229e-06
9.375,-4.10694e-06
9.45,-4.66125e-06
9.525,-5.29588e-06
9.6,-6.0451e-06
9.675,-6.91684e-06
9.75,-7.92552e-06
9.825,-9.08453e-06
9.9,-1.04125e-05
9.975,-1.19318e-05
10.05,-1.36635e-05
10.125,-1.56303e-05
10.2,-1.78609e-05
10.275,-2.03769e-05
10.35,-2.32138e-05
10.425,-2.64022e-05
10.5,-3.00266e-05
10.575,-3.41067e-05
10.65,-3.86915e-05
10.725,-4.38348e-05
10.8,-4.95772e-05
10.875,-5.59578e-05
10.95,-6.30094e-05
11.025,-7.07777e-05
11.1,-7.92993e-05
11.175,-8.86159e-05
11.25,-9.87812e-05
11.325,-0.000109836
11.4,-0.000121927
11.475,-0.000134991
11.55,-0.000149044
11.625,-0.00016411
11.7,-0.000180166
11.775,-0.000197209
11.85,-0.000215194
11.925,-0.000234064
12,-0.000253743
12.075,-0.000274142
12.15,-0.000295146
12.225,-0.000316778
12.3,-0.000338697
12.375,-0.000360676
12.45,-0.00038242
12.525,-0.000403569
12.6,-0.000423671
12.675,-0.000442163
12.75,-0.000458307
12.825,-0.000471158
12.9,-0.000479503
12.975,-0.00048177
13.05,-0.000475931
13.125,-0.000459363
13.2,-0.000428869
13.275,-0.000380634
13.35,-0.00031048
13.425,-0.000214588
13.5,-9.0061e-05
13.575,6.24594e-05
13.65,0.000237875
13.725,0.000424056
13.8,0.000602003
13.875,0.000749023
13.95,0.000843155
14.025,0.000870508
14.1,0.000828634
14.175,0.000728859
14.25,0.000592068
14.325,0.000443792
14.4,0.000307705
14.475,0.000201327
14.55,0.000134503
14.625,0.000109302
14.7,0.000121344
14.775,0.000161381
14.85,0.000216865
14.925,0.000273775
15,0.000318751
15.075,0.000341558
15.15,0.000336717
15.225,0.000304619
15.3,0.000251055
15.375,0.000185654
15.45,0.000119453
15.525,6.2612e-05
15.6,2.24783e-05
15.675,2.64761e-06
15.75,2.71426e-06
15.825,1.8885e-05
15.9,4.4319e-05
15.975,7.17923e-05
16.05,9.38817e-05
16.125,0.000104752
16.2,0.000101838
16.275,8.52604e-05
16.35,5.91944e-05
16.425,2.92568e-05
16.5,1.42242e-06
16.575,-1.90618e-05
16.65,-2.90903e-05
16.725,-2.77512e-05
16.8,-1.61092e-05
16.875,1.18921e-06
16.95,1.93375e-05
17.025,3.34921e-05
17.1,3.9617e-05
17.175,3.74234e-05
17.25,2.75914e-05
17.325,1.32693e-05
17.4,-2.00585e-06
17.475,-1.40149e-05
17.55,-2.00707e-05
17.625,-1.88743e-05
17.7,-1.15265e-05
17.775,-8.49756e-07
17.85,1.00271e-05
17.925,1.80598e-05
18,2.10189e-05
18.075,1.82659e-05
18.15,1.07319e-05
18.225,9.34233e-07
18.3,-8.07689e-06
