Points_0,Points_1,Points_2,U_0,U_1,U_2
8,-0.01,0,0,0,0
8,-0.01,3.4e-05,0.00433671,0,-4.0643e-07
8,-0.01,6.8e-05,0.00867343,0,-8.12859e-07
8,-0.01,0.000102,0.0130101,0,-1.21929e-06
8,-0.01,0.000136,0.0172354,0,-1.8245e-06
8,-0.01,0.00017,0.0213762,0,-2.58052e-06
8,-0.01,0.000204,0.0255169,0,-3.33654e-06
8,-0.01,0.000238,0.0296161,0,-4.13864e-06
8,-0.01,0.000272,0.0334542,0,-5.23042e-06
8,-0.01,0.000306,0.0372922,0,-6.3222e-06
8,-0.01,0.00034,0.0411303,0,-7.41398e-06
8,-0.01,0.000374,0.0447083,0,-8.61735e-06
8,-0.01,0.000408,0.0481781,0,-9.86721e-06
8,-0.01,0.000442,0.0516478,0,-1.11171e-05
8,-0.01,0.000476,0.0550074,0,-1.23746e-05
8,-0.01,0.00051,0.058076,0,-1.36523e-05
8,-0.01,0.000544,0.0611446,0,-1.493e-05
8,-0.01,0.000578,0.0642132,0,-1.62077e-05
8,-0.01,0.000612,0.0669367,0,-1.7437e-05
8,-0.01,0.000646,0.0695959,0,-1.86573e-05
8,-0.01,0.00068,0.0722551,0,-1.98776e-05
8,-0.01,0.000714,0.0747497,0,-2.10497e-05
8,-0.01,0.000748,0.0770093,0,-2.2153e-05
8,-0.01,0.000782,0.0792689,0,-2.32564e-05
8,-0.01,0.000816,0.0815285,0,-2.43597e-05
8,-0.01,0.00085,0.0834187,0,-2.53079e-05
8,-0.01,0.000884,0.0853014,0,-2.6253e-05
8,-0.01,0.000918,0.0871841,0,-2.71981e-05
8,-0.01,0.000952,0.0888771,0,-2.8042e-05
8,-0.01,0.000986,0.0904141,0,-2.88028e-05
8,-0.01,0.00102,0.0919512,0,-2.95637e-05
8,-0.01,0.001054,0.0934519,0,-3.03011e-05
8,-0.01,0.001088,0.0946794,0,-3.08629e-05
8,-0.01,0.001122,0.0959069,0,-3.14246e-05
8,-0.01,0.001156,0.0971344,0,-3.19864e-05
8,-0.01,0.00119,0.0981756,0,-3.24096e-05
