Time,avg(H)
0.075,0.4982
0.15,0.498198
0.225,0.498198
0.3,0.498198
0.375,0.498198
0.45,0.498198
0.525,0.498198
0.6,0.498198
0.675,0.498198
0.75,0.498198
0.825,0.498198
0.9,0.498198
0.975,0.498198
1.05,0.498198
1.125,0.498198
1.2,0.498199
1.275,0.498198
1.35,0.498198
1.425,0.498198
1.5,0.498198
1.575,0.498197
1.65,0.498197
1.725,0.498198
1.8,0.498198
1.875,0.498199
1.95,0.4982
2.025,0.498202
2.1,0.498204
2.175,0.498207
2.25,0.498212
2.325,0.498218
2.4,0.498227
2.475,0.498241
2.55,0.49826
2.625,0.498287
2.7,0.498324
2.775,0.498375
2.85,0.498444
2.925,0.498536
3,0.498658
3.075,0.498818
3.15,0.499026
3.225,0.499292
3.3,0.49963
3.375,0.500053
3.45,0.500576
3.525,0.501214
3.6,0.501984
3.675,0.502911
3.75,0.50403
3.825,0.505402
3.9,0.50714
3.975,0.509267
4.05,0.511371
4.125,0.513627
4.2,0.516288
4.275,0.519426
4.35,0.522279
4.425,0.52526
4.5,0.528615
4.575,0.531408
4.65,0.533901
4.725,0.536263
4.8,0.53825
4.875,0.53949
4.95,0.540155
5.025,0.540328
5.1,0.540091
5.175,0.539535
5.25,0.538757
5.325,0.537853
5.4,0.536917
5.475,0.536093
5.55,0.535481
5.625,0.53505
5.7,0.534744
5.775,0.53449
5.85,0.534203
5.925,0.533795
6,0.533196
6.075,0.53236
6.15,0.531257
6.225,0.529863
6.3,0.528132
6.375,0.526089
6.45,0.524225
6.525,0.522502
6.6,0.520846
6.675,0.519211
6.75,0.517548
6.825,0.516018
6.9,0.514717
6.975,0.513496
7.05,0.512248
7.125,0.510874
7.2,0.50927
7.275,0.507323
7.35,0.5054
7.425,0.503548
7.5,0.501647
7.575,0.499602
7.65,0.49737
7.725,0.495459
7.8,0.493798
7.875,0.492254
7.95,0.490748
8.025,0.489208
8.1,0.487626
8.175,0.486226
8.25,0.484906
8.325,0.483574
8.4,0.482162
8.475,0.480609
8.55,0.478843
8.625,0.477111
8.7,0.475584
8.775,0.474171
8.85,0.472826
8.925,0.471525
9,0.470254
9.075,0.469003
