Time,avg(flux)
11.85,0.00235752
11.925,0.00220325
12,0.00186208
12.075,0.00138052
12.15,0.000821558
12.225,0.000253207
12.3,-0.000266755
12.375,-0.000700669
12.45,-0.00103063
12.525,-0.00125441
12.6,-0.00138116
12.675,-0.00142707
12.75,-0.00141178
12.825,-0.00135312
12.9,-0.00126661
12.975,-0.00117079
13.05,-0.00107692
13.125,-0.000993023
13.2,-0.000925679
13.275,-0.000872754
13.35,-0.000829368
13.425,-0.000784195
13.5,-0.000726417
13.575,-0.000640306
13.65,-0.000509968
13.725,-0.00032035
13.8,-5.68454e-05
13.875,0.000282298
13.95,0.000690441
14.025,0.00114423
14.1,0.0016001
14.175,0.00200033
14.25,0.00227886
14.325,0.00238211
