Time,avg(H)
0.075,0.5
0.15,0.5
0.225,0.5
0.3,0.5
0.375,0.5
0.45,0.5
0.525,0.5
0.6,0.5
0.675,0.5
0.75,0.5
0.825,0.5
0.9,0.5
0.975,0.5
1.05,0.500001
1.125,0.500001
1.2,0.500001
1.275,0.500001
1.35,0.500001
1.425,0.500001
1.5,0.500001
1.575,0.5
1.65,0.5
1.725,0.5
1.8,0.5
1.875,0.5
1.95,0.5
2.025,0.5
2.1,0.5
2.175,0.500001
2.25,0.500002
2.325,0.500004
2.4,0.500006
2.475,0.500009
2.55,0.500013
2.625,0.500017
2.7,0.500022
2.775,0.500029
2.85,0.500036
2.925,0.500044
3,0.500052
3.075,0.500061
3.15,0.50007
3.225,0.500078
3.3,0.500083
3.375,0.500084
3.45,0.500079
3.525,0.500065
3.6,0.500039
3.675,0.499996
3.75,0.499934
3.825,0.49985
3.9,0.499745
3.975,0.499619
4.05,0.499474
4.125,0.499317
4.2,0.499154
4.275,0.498996
4.35,0.498856
4.425,0.498755
4.5,0.498721
4.575,0.498779
4.65,0.498957
4.725,0.499296
4.8,0.499886
4.875,0.500727
4.95,0.501756
5.025,0.503087
5.1,0.50467
5.175,0.506407
5.25,0.508218
5.325,0.509978
5.4,0.511538
5.475,0.512798
5.55,0.513422
5.625,0.513373
5.7,0.51254
5.775,0.510751
5.85,0.508096
5.925,0.504755
6,0.500872
6.075,0.496751
6.15,0.492667
6.225,0.488922
6.3,0.485816
6.375,0.483673
6.45,0.48282
6.525,0.483341
6.6,0.485608
6.675,0.489777
6.75,0.49585
6.825,0.503723
6.9,0.513021
6.975,0.522778
7.05,0.531921
7.125,0.538835
7.2,0.541699
7.275,0.539479
7.35,0.532102
7.425,0.520554
7.5,0.506888
7.575,0.492673
7.65,0.479588
7.725,0.468457
7.8,0.460009
7.875,0.454627
7.95,0.452612
8.025,0.454272
8.1,0.460043
8.175,0.470351
8.25,0.485455
8.325,0.505677
8.4,0.529994
8.475,0.554764
8.55,0.573424
8.625,0.5787
8.7,0.566792
8.775,0.542764
8.85,0.515086
8.925,0.489238
9,0.46779
9.075,0.451714
9.15,0.440855
9.225,0.435037
9.3,0.434082
9.375,0.437834
9.45,0.44644
9.525,0.460093
9.6,0.47923
9.675,0.503371
9.75,0.530227
