Points_0,Points_1,Points_2,U_0,U_1,U_2
8,-0.01,0,0,0,0
8,-0.01,3.4e-05,0.00351103,0,-2.73707e-07
8,-0.01,6.8e-05,0.00702207,0,-5.47413e-07
8,-0.01,0.000102,0.0104744,0,-8.90711e-07
8,-0.01,0.000136,0.0137836,0,-1.40355e-06
8,-0.01,0.00017,0.0170928,0,-1.91638e-06
8,-0.01,0.000204,0.0202534,0,-2.56676e-06
8,-0.01,0.000238,0.0233072,0,-3.31592e-06
8,-0.01,0.000272,0.026361,0,-4.06508e-06
8,-0.01,0.000306,0.0291673,0,-4.91965e-06
8,-0.01,0.00034,0.0319377,0,-5.78953e-06
8,-0.01,0.000374,0.0346598,0,-6.66519e-06
8,-0.01,0.000408,0.0371364,0,-7.57022e-06
8,-0.01,0.000442,0.039613,0,-8.47526e-06
8,-0.01,0.000476,0.0419561,0,-9.37053e-06
8,-0.01,0.00051,0.0441393,0,-1.02541e-05
8,-0.01,0.000544,0.0463224,0,-1.11377e-05
8,-0.01,0.000578,0.0482929,0,-1.1975e-05
8,-0.01,0.000612,0.050191,0,-1.27966e-05
8,-0.01,0.000646,0.0520791,0,-1.36148e-05
8,-0.01,0.00068,0.0537064,0,-1.43453e-05
8,-0.01,0.000714,0.0553338,0,-1.50758e-05
8,-0.01,0.000748,0.0568783,0,-1.57702e-05
8,-0.01,0.000782,0.0582533,0,-1.63905e-05
8,-0.01,0.000816,0.0596283,0,-1.70108e-05
8,-0.01,0.00085,0.0608601,0,-1.7556e-05
8,-0.01,0.000884,0.0620037,0,-1.8055e-05
8,-0.01,0.000918,0.0631474,0,-1.8554e-05
8,-0.01,0.000952,0.0641008,0,-1.89381e-05
8,-0.01,0.000986,0.0650355,0,-1.93109e-05
8,-0.01,0.00102,0.0659326,0,-1.96583e-05
8,-0.01,0.001054,0.0666809,0,-1.99052e-05
8,-0.01,0.001088,0.0674293,0,-2.01522e-05
8,-0.01,0.001122,0.0680967,0,-2.03397e-05
8,-0.01,0.001156,0.0686806,0,-2.04661e-05
8,-0.01,0.00119,0.0692646,0,-2.05924e-05
8,-0.01,0.001224,0.0697365,0,-2.0629e-05
8,-0.01,0.001258,0.0701774,0,-2.06408e-05
8,-0.01,0.001292,0.0706092,0,-2.06446e-05
8,-0.01,0.001326,0.0709267,0,-2.05477e-05
8,-0.01,0.00136,0.0712443,0,-2.04507e-05
8,-0.01,0.001394,0.0715235,0,-2.03175e-05
8,-0.01,0.001428,0.0717361,0,-2.0121e-05
8,-0.01,0.001462,0.0719488,0,-1.99245e-05
8,-0.01,0.001496,0.0721034,0,-1.96699e-05
8,-0.01,0.00153,0.0722277,0,-1.93848e-05
8,-0.01,0.001564,0.0723519,0,-1.90997e-05
8,-0.01,0.001598,0.0724068,0,-1.87398e-05
8,-0.01,0.001632,0.0724577,0,-1.83756e-05
8,-0.01,0.001666,0.0724944,0,-1.79948e-05
8,-0.01,0.0017,0.0724853,0,-1.75605e-05
8,-0.01,0.001734,0.0724763,0,-1.71262e-05
8,-0.01,0.001768,0.0724416,0,-1.66594e-05
8,-0.01,0.001802,0.0723842,0,-1.61635e-05
8,-0.01,0.001836,0.0723268,0,-1.56677e-05
8,-0.01,0.00187,0.072238,0,-1.51282e-05
8,-0.01,0.001904,0.0721424,0,-1.45791e-05
8,-0.01,0.001938,0.0720434,0,-1.40249e-05
8,-0.01,0.001972,0.0719184,0,-1.34302e-05
8,-0.01,0.002006,0.0717933,0,-1.28354e-05
8,-0.01,0.00204,0.0716594,0,-1.22251e-05
8,-0.01,0.002074,0.0715123,0,-1.15915e-05
8,-0.01,0.002108,0.0713653,0,-1.0958e-05
8,-0.01,0.002142,0.0712074,0,-1.03019e-05
8,-0.01,0.002176,0.0710448,0,-9.63576e-06
8,-0.01,0.00221,0.0708821,0,-8.96965e-06
8,-0.01,0.002244,0.0707093,0,-8.27678e-06
8,-0.01,0.002278,0.0705363,0,-7.58348e-06
8,-0.01,0.002312,0.0703617,0,-6.88405e-06
8,-0.01,0.002346,0.0701828,0,-6.16853e-06
8,-0.01,0.00238,0.0700039,0,-5.453e-06
8,-0.01,0.002414,0.0698237,0,-4.72719e-06
8,-0.01,0.002448,0.0696424,0,-3.99351e-06
8,-0.01,0.002482,0.0694612,0,-3.25984e-06
8,-0.01,0.002516,0.0692805,0,-2.51386e-06
8,-0.01,0.00255,0.0690999,0,-1.76585e-06
8,-0.01,0.002584,0.0689197,0,-1.01616e-06
8,-0.01,0.002618,0.0687419,0,-2.56782e-07
8,-0.01,0.002652,0.0685642,0,5.02596e-07
8,-0.01,0.002686,0.0683885,0,1.26572e-06
8,-0.01,0.00272,0.0682155,0,2.03362e-06
