Time,avg(flux)
5.01,2.39051e-06
5.04,2.97385e-06
5.07,3.69603e-06
5.1,4.59019e-06
5.13,5.69621e-06
5.16,7.06079e-06
5.19,8.74922e-06
5.22,1.08309e-05
5.25,1.33973e-05
5.28,1.65679e-05
5.31,2.04659e-05
5.34,2.52712e-05
5.37,3.11676e-05
5.4,3.84156e-05
5.43,4.72894e-05
5.46,5.81754e-05
5.49,7.14623e-05
5.52,8.76977e-05
5.55,0.000107443
5.58,0.000131404
5.61,0.000160384
5.64,0.000195325
5.67,0.000237202
5.7,0.000287144
5.73,0.000346292
5.76,0.000415798
5.79,0.000496774
5.82,0.000589847
5.85,0.000695664
5.88,0.000814113
5.91,0.000944421
5.94,0.00108471
5.97,0.00123222
6,0.00138296
6.03,0.0015323
6.06,0.00167483
6.09,0.00180465
6.12,0.00191556
6.15,0.00200293
6.18,0.00206224
6.21,0.00209004
6.24,0.00208464
6.27,0.00204634
6.3,0.00197644
6.33,0.00187791
6.36,0.00175552
6.39,0.00161427
6.42,0.00146007
6.45,0.00129895
6.48,0.00113629
6.51,0.000976892
6.54,0.000824656
6.57,0.000682458
6.6,0.000552193
6.63,0.000434836
6.66,0.000330544
6.69,0.000239043
6.72,0.000159478
6.75,9.09721e-05
6.78,3.21836e-05
6.81,-1.79491e-05
6.84,-6.06664e-05
6.87,-9.69847e-05
6.9,-0.00012795
6.93,-0.000154364
6.96,-0.000177043
6.99,-0.000196585
7.02,-0.000213537
7.05,-0.000228383
7.08,-0.000241477
7.11,-0.000253133
7.14,-0.000263587
7.17,-0.000273027
7.2,-0.0002816
7.23,-0.000289422
7.26,-0.000296575
7.29,-0.000303115
7.32,-0.000309067
7.35,-0.000314455
7.38,-0.00031927
7.41,-0.000323511
7.44,-0.00032714
7.47,-0.00033014
7.5,-0.000332461
