Time,avg(H)
0.625,0.5
1.25,0.500001
1.875,0.5
2.5,0.500055
3.125,0.500914
3.75,0.509335
4.375,0.54708
5,0.556028
5.625,0.516853
6.25,0.521474
6.875,0.512472
7.5,0.500511
8.125,0.497895
8.75,0.485452
9.375,0.48323
10,0.473441
10.625,0.47157
11.25,0.465299
11.875,0.464034
12.5,0.462585
13.125,0.462016
13.75,0.46616
14.375,0.467615
15,0.474042
15.625,0.482346
16.25,0.490893
16.875,0.500525
17.5,0.508837
18.125,0.518427
18.75,0.526736
19.375,0.530871
20,0.531349
20.625,0.534465
21.25,0.534561
21.875,0.52938
22.5,0.522935
23.125,0.517377
23.75,0.51251
24.375,0.507127
25,0.499589
25.625,0.493109
26.25,0.487993
26.875,0.48328
27.5,0.479058
28.125,0.477571
28.75,0.476713
29.375,0.4747
30,0.47287
30.625,0.473513
31.25,0.476824
31.875,0.481762
32.5,0.486798
33.125,0.492178
33.75,0.497634
34.375,0.503426
35,0.507853
35.625,0.511903
36.25,0.514265
36.875,0.51588
37.5,0.516922
38.125,0.516835
38.75,0.516261
39.375,0.514153
40,0.510966
40.625,0.507594
41.25,0.503902
41.875,0.500808
42.5,0.498182
43.125,0.495732
43.75,0.493941
44.375,0.492291
45,0.491255
45.625,0.490824
46.25,0.491095
46.875,0.49211
47.5,0.493519
48.125,0.495469
48.75,0.498096
49.375,0.500143
50,0.501907
50.625,0.503143
51.25,0.50399
51.875,0.504014
52.5,0.503577
53.125,0.502591
53.75,0.501038
54.375,0.499429
55,0.497479
55.625,0.495607
56.25,0.493959
56.875,0.492611
57.5,0.491697
58.125,0.491334
58.75,0.491668
59.375,0.492953
60,0.494875
60.625,0.49755
61.25,0.500783
61.875,0.504208
62.5,0.507614
63.125,0.511055
63.75,0.513979
64.375,0.516279
65,0.517666
65.625,0.518174
66.25,0.517398
66.875,0.515364
67.5,0.51229
68.125,0.50845
68.75,0.504116
69.375,0.499566
70,0.495139
70.625,0.490541
71.25,0.486029
71.875,0.481899
72.5,0.478012
73.125,0.475126
73.75,0.473831
74.375,0.474011
75,0.474962
75.625,0.476608
76.25,0.479552
76.875,0.484417
77.5,0.49092
78.125,0.498738
78.75,0.507049
79.375,0.515223
80,0.52264
80.625,0.528244
81.25,0.531337
81.875,0.53287
82.5,0.533804
83.125,0.53279
83.75,0.528324
84.375,0.521977
85,0.515558
85.625,0.509048
86.25,0.501966
86.875,0.494849
87.5,0.488134
88.125,0.482222
88.75,0.477045
89.375,0.471825
90,0.466134
90.625,0.462068
91.25,0.46194
91.875,0.463621
92.5,0.464643
93.125,0.466877
93.75,0.472775
94.375,0.48145
95,0.491119
95.625,0.501514
96.25,0.512057
96.875,0.521872
97.5,0.530767
98.125,0.53772
98.75,0.54047
99.375,0.538669
100,0.53735
100.625,0.53605
101.25,0.530081
101.875,0.521998
102.5,0.514525
103.125,0.507041
103.75,0.499203
104.375,0.491591
105,0.484938
105.625,0.479577
106.25,0.47497
106.875,0.469466
107.5,0.463458
108.125,0.460699
108.75,0.462058
109.375,0.464418
110,0.465647
110.625,0.469352
111.25,0.476518
111.875,0.485502
112.5,0.494717
113.125,0.504244
113.75,0.51333
114.375,0.521355
115,0.528311
115.625,0.53352
116.25,0.535255
116.875,0.532716
117.5,0.529319
118.125,0.527006
118.75,0.523313
119.375,0.517346
120,0.510748
120.625,0.504407
121.25,0.498557
121.875,0.493028
122.5,0.487938
123.125,0.482899
123.75,0.477956
124.375,0.473968
125,0.472107
125.625,0.472889
126.25,0.475138
126.875,0.476951
127.5,0.479302
128.125,0.483196
128.75,0.488706
129.375,0.495094
130,0.500906
130.625,0.506659
131.25,0.511491
131.875,0.515322
132.5,0.517856
133.125,0.518893
133.75,0.518177
134.375,0.516195
135,0.513489
135.625,0.51093
136.25,0.508192
136.875,0.505354
137.5,0.502552
138.125,0.499464
138.75,0.496791
139.375,0.494496
140,0.492883
140.625,0.492077
141.25,0.491996
141.875,0.492437
142.5,0.493243
143.125,0.494541
143.75,0.495986
144.375,0.49749
145,0.498988
145.625,0.500519
146.25,0.501816
146.875,0.502787
147.5,0.503233
148.125,0.502978
148.75,0.502234
149.375,0.500973
150,0.499499
150.625,0.49785
151.25,0.496266
151.875,0.494697
152.5,0.493253
153.125,0.492265
153.75,0.49156
154.375,0.491501
155,0.492131
155.625,0.493376
156.25,0.495306
156.875,0.497883
157.5,0.501141
158.125,0.504819
158.75,0.508566
159.375,0.512003
160,0.514912
160.625,0.516823
161.25,0.517577
161.875,0.517287
162.5,0.516038
163.125,0.513845
163.75,0.510866
164.375,0.507065
165,0.502707
165.625,0.497811
166.25,0.492926
166.875,0.488254
167.5,0.484139
168.125,0.480781
168.75,0.478003
169.375,0.475515
170,0.473574
170.625,0.472893
171.25,0.474368
171.875,0.477569
172.5,0.482244
173.125,0.487828
173.75,0.494629
174.375,0.502181
175,0.510168
175.625,0.51771
176.25,0.524375
176.875,0.529992
177.5,0.534178
178.125,0.535055
178.75,0.532533
179.375,0.529148
180,0.525647
180.625,0.520683
181.25,0.513844
181.875,0.506541
182.5,0.499216
183.125,0.492107
183.75,0.484965
184.375,0.478007
185,0.472169
185.625,0.468504
186.25,0.466648
186.875,0.464289
187.5,0.461283
188.125,0.461506
188.75,0.465565
189.375,0.470789
190,0.476602
190.625,0.4847
191.25,0.495071
191.875,0.506341
192.5,0.517159
193.125,0.526351
193.75,0.532561
194.375,0.53619
195,0.539801
195.625,0.541541
196.25,0.53736
196.875,0.531221
197.5,0.526352
198.125,0.520092
198.75,0.512291
199.375,0.504288
200,0.496636
200.625,0.489027
201.25,0.481473
201.875,0.474454
202.5,0.469053
203.125,0.466827
203.75,0.465577
204.375,0.462776
205,0.460696
205.625,0.462829
206.25,0.46796
206.875,0.473324
207.5,0.479999
208.125,0.488856
208.75,0.4991
209.375,0.509315
210,0.518581
210.625,0.525576
211.25,0.529576
211.875,0.53117
212.5,0.532448
213.125,0.533719
213.75,0.531327
214.375,0.525346
215,0.519183
215.625,0.51357
216.25,0.50752
216.875,0.500978
217.5,0.49462
218.125,0.488784
218.75,0.483987
219.375,0.480776
220,0.478601
220.625,0.476558
221.25,0.474135
221.875,0.472473
222.5,0.473222
223.125,0.476702
223.75,0.48105
224.375,0.485755
225,0.490781
225.625,0.496379
226.25,0.502374
226.875,0.50742
227.5,0.511424
228.125,0.514157
228.75,0.515473
229.375,0.516118
230,0.516265
230.625,0.515766
231.25,0.514266
231.875,0.511541
232.5,0.508234
233.125,0.50468
233.75,0.501426
234.375,0.498604
235,0.496088
235.625,0.493977
236.25,0.492295
236.875,0.491026
237.5,0.490418
238.125,0.49069
238.75,0.491776
239.375,0.493393
