Time,avg(flux)
18.675,1.74957e-06
18.9,-1.43305e-05
19.125,-5.23416e-05
19.35,-0.000103503
19.575,-0.000162379
19.8,-0.000225974
20.025,-0.000289126
20.25,-0.000345704
20.475,-0.000390889
20.7,-0.000419456
20.925,-0.000416329
21.15,-0.000365739
21.375,-0.000264008
21.6,-0.000119622
21.825,4.70661e-05
22.05,0.000210748
22.275,0.000346633
22.5,0.000441079
22.725,0.000489961
22.95,0.000500683
23.175,0.000467782
23.4,0.000385353
23.625,0.000252084
23.85,8.22752e-05
24.075,-0.000100074
24.3,-0.000273869
24.525,-0.00043349
24.75,-0.00058673
24.975,-0.000737238
25.2,-0.000874807
25.425,-0.000983027
25.65,-0.00105244
25.875,-0.00108188
26.1,-0.00106409
26.325,-0.000976578
26.55,-0.00078831
26.775,-0.000479251
27,-6.67026e-05
27.225,0.000388217
27.45,0.000798253
27.675,0.00107265
27.9,0.001174
28.125,0.00113761
28.35,0.0010109
28.575,0.000832401
28.8,0.000617657
29.025,0.000368661
29.25,9.65435e-05
29.475,-0.000176665
29.7,-0.000431624
29.925,-0.000664736
30.15,-0.0008826
30.375,-0.00108573
30.6,-0.00126078
30.825,-0.00139791
31.05,-0.0014947
31.275,-0.00154215
31.5,-0.00151891
31.725,-0.00139716
31.95,-0.00114716
32.175,-0.000736599
32.4,-0.000158716
32.625,0.000521302
32.85,0.00113369
33.075,0.00148057
33.3,0.00151158
33.525,0.00135288
33.75,0.00114702
33.975,0.000931139
34.2,0.000677599
34.425,0.000379541
34.65,6.94714e-05
34.875,-0.000218239
35.1,-0.000473357
35.325,-0.000707193
35.55,-0.000930101
35.775,-0.00113778
36,-0.00131719
36.225,-0.00145746
36.45,-0.00155017
36.675,-0.00158406
36.9,-0.00153973
37.125,-0.00139423
37.35,-0.00112359
37.575,-0.000708154
37.8,-0.000153831
38.025,0.000463358
38.25,0.000993998
38.475,0.00128426
38.7,0.00130624
38.925,0.00117025
39.15,0.000992751
39.375,0.000803473
39.6,0.000580023
39.825,0.000317896
40.05,5.03786e-05
40.275,-0.000189167
40.5,-0.000394469
40.725,-0.000579344
40.95,-0.000752469
41.175,-0.000906983
41.4,-0.00103251
41.625,-0.00112106
41.85,-0.00116244
42.075,-0.00114367
42.3,-0.00105732
42.525,-0.000903106
42.75,-0.000689687
42.975,-0.000430594
43.2,-0.000153953
43.425,0.000108658
43.65,0.000319131
43.875,0.000442408
44.1,0.000470771
44.325,0.00042315
44.55,0.000331608
44.775,0.000214075
45,7.4817e-05
45.225,-8.1111e-05
45.45,-0.000236707
45.675,-0.000368213
45.9,-0.000462232
46.125,-0.000524571
46.35,-0.000568983
46.575,-0.000603672
46.8,-0.000622352
47.025,-0.000614839
47.25,-0.000573023
47.475,-0.000494032
47.7,-0.000383542
47.925,-0.000268233
48.15,-0.000187008
48.375,-0.000158183
